path,size_bytes,mime,ext
logs/run_20250509_105256_nixos/make_v4.log,1978,text/plain,.log
logs/run_20250509_105256_nixos/run_v2_2.2_scatter_halo_np1.log,99,text/plain,.log
logs/run_20250509_105256_nixos/make_v3.log,367,text/plain,.log
logs/run_20250509_105256_nixos/run_v1_np1.log,894,text/plain,.log
logs/run_20250509_105256_nixos/run_v4_np1.log,196,text/plain,.log
logs/run_20250509_105256_nixos/run_v2_2.2_scatter_halo_np4.log,214,text/plain,.log
logs/run_20250509_105256_nixos/make_v1.log,353,text/plain,.log
logs/run_20250509_105256_nixos/make_v2_2.2_scatter_halo_np1.log,494,text/plain,.log
logs/run_20250509_105256_nixos/run_v2_2.2_scatter_halo_np2.log,215,text/plain,.log
logs/run_20250509_105256_nixos/run_v2_2.1_broadcast_all_np1.log,99,text/plain,.log
logs/run_20250509_105256_nixos/make_v2_2.1_broadcast_all_np1.log,534,text/plain,.log
logs/run_20250509_105256_nixos/run_v3_np1.log,162,text/plain,.log
logs/run_20250509_105256_nixos/run_v4_np4.log,195,text/plain,.log
logs/run_20250509_114103_nixos/make_v2_2.2_scatter_halo_np2.log,494,text/plain,.log
logs/run_20250509_114103_nixos/make_v2_2.1_broadcast_all_np2.log,534,text/plain,.log
logs/run_20250509_114103_nixos/run_v2_2.1_broadcast_all_np4.log,99,text/plain,.log
logs/run_20250509_114103_nixos/make_v2_2.2_scatter_halo_np4.log,494,text/plain,.log
logs/run_20250509_114103_nixos/run_v4_np2.log,934,application/octet-stream,.log
logs/run_20250509_114103_nixos/make_v2_2.1_broadcast_all_np4.log,534,text/plain,.log
logs/run_20250509_114103_nixos/run_v2_2.1_broadcast_all_np2.log,99,text/plain,.log
logs/run_20250509_114103_nixos/make_v4.log,1838,text/plain,.log
logs/run_20250509_114103_nixos/run_v2_2.2_scatter_halo_np1.log,99,text/plain,.log
logs/run_20250509_114103_nixos/make_v3.log,405,text/plain,.log
logs/run_20250509_114103_nixos/run_v1_np1.log,891,text/plain,.log
logs/run_20250509_114103_nixos/run_v4_np1.log,853,text/plain,.log
logs/run_20250509_114103_nixos/run_v2_2.2_scatter_halo_np4.log,215,text/plain,.log
logs/run_20250509_114103_nixos/make_v1.log,353,text/plain,.log
logs/run_20250509_114103_nixos/make_v2_2.2_scatter_halo_np1.log,494,text/plain,.log
logs/run_20250509_114103_nixos/run_v2_2.2_scatter_halo_np2.log,215,text/plain,.log
logs/run_20250509_114103_nixos/run_v2_2.1_broadcast_all_np1.log,99,text/plain,.log
logs/run_20250509_114103_nixos/make_v2_2.1_broadcast_all_np1.log,534,text/plain,.log
logs/run_20250509_114103_nixos/run_v3_np1.log,162,text/plain,.log
logs/run_20250509_114103_nixos/run_v4_np4.log,1094,application/octet-stream,.log
logs/multirun_20250509_123153_nixos/main_orchestration.log,4468,text/plain,.log
logs/multirun_20250509_123153_nixos/mpi_cluster_hosts.txt,43,text/plain,.txt
logs/multirun_20250509_123153_nixos/make_v4_mpi_cuda_multi_arch.log,3211,text/plain,.log
logs/multirun_20250509_123153_nixos/run_v4_mpi_cuda_multi_np2.log,296,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/make_v2_2.2_scatter_halo_np2.log,494,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/make_v2_2.1_broadcast_all_np2.log,534,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/run_v2_2.1_broadcast_all_np4.log,100,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/make_v2_2.2_scatter_halo_np4.log,494,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/run_v4_np2.log,195,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/make_v2_2.1_broadcast_all_np4.log,534,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/run_v2_2.1_broadcast_all_np2.log,99,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/make_v4.log,5054,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/run_v2_2.2_scatter_halo_np1.log,98,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/make_v3.log,405,text/plain,.log
